FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DAHM,AHMEDABAD,CHANASMA-PATAN,05MT,9200,14702,134
01-01-2025,31-12-2025,UHOW,HOWRAH,CHANDAMARI-NADIA,03MT,5000,7000,81
01-01-2025,31-12-2025,UHOW,HOWRAH,CHANDAMARI-NADIA,06MT,7000,9322,81
01-01-2025,31-12-2025,USUR,SURAJPUR,CHANDAULI-CHANDAULI,09MT,29400,43200,799
01-01-2025,31-12-2025,USUR,SURAJPUR,CHANDAULI-CHANDAULI,15MT,43200,53000,799
01-01-2025,31-12-2025,USUR,SURAJPUR,CHANDAULI-CHANDAULI,20MT,53000,60000,799
01-01-2025,31-12-2025,USUR,SURAJPUR,CHANDAULI-CHANDAULI,24MT,60000,75000,799
01-01-2025,31-12-2025,UROO,ROORKEE,CHANDIGARH-CHANDIGARH,09MT,8300,11400,162
01-01-2025,31-12-2025,UROO,ROORKEE,CHANDIGARH-CHANDIGARH,15MT,11400,14100,162
01-01-2025,31-12-2025,UROO,ROORKEE,CHANDIGARH-CHANDIGARH,20MT,14100,16600,162
01-01-2025,31-12-2025,UROO,ROORKEE,CHANDIGARH-CHANDIGARH,24MT,16600,20750,162
01-01-2025,31-12-2025,UROO,ROORKEE,CHANDIGARH-CHANDIGARH,25MT,16600,19920,162
01-01-2025,31-12-2025,DDHA,DHANBAD,CHANDIL-SERAIKELA KHARSAWAL,03MT,5500,7900,143
01-01-2025,31-12-2025,DDHA,DHANBAD,CHANDIL-SERAIKELA KHARSAWAL,05MT,7900,12624,143
01-01-2025,31-12-2025,DARN,AURANGABAD,CHANDRAPUR-AMRAVATI,03MT,10600,15200,377
01-01-2025,31-12-2025,DARN,AURANGABAD,CHANDRAPUR-AMRAVATI,05MT,15200,24290,377
01-01-2025,31-12-2025,DARN,AURANGABAD,CHANDRAPUR-AMRAVATI,09MT,26200,46549,377
01-01-2025,31-12-2025,USIL,SILVASSA,CHANDRAPUR-CHANDRAPUR,09MT,39600,52400,969
01-01-2025,31-12-2025,USIL,SILVASSA,CHANDRAPUR-CHANDRAPUR,16MT,52400,67900,969
01-01-2025,31-12-2025,USIL,SILVASSA,CHANDRAPUR-CHANDRAPUR,21MT,67900,75900,969
01-01-2025,31-12-2025,USIL,SILVASSA,CHANDRAPUR-CHANDRAPUR,24MT,75900,94875,969
01-01-2025,31-12-2025,USUR,SURAJPUR,CHANDRAPUR-CHANDRAPUR,20MT,57600,66000,1198
01-01-2025,31-12-2025,USUR,SURAJPUR,CHANDRAPUR-CHANDRAPUR,24MT,66000,82500,1198
01-01-2025,31-12-2025,DDHA,DHANBAD,CHANDRAPURA-BOKARO,03MT,2700,3500,43
01-01-2025,31-12-2025,DDHA,DHANBAD,CHANDRAPURA-BOKARO,05MT,3500,5593,43
01-01-2025,31-12-2025,DARN,AURANGABAD,CHANDUR BAZAR-AMRAVATI,03MT,10600,15200,377
01-01-2025,31-12-2025,DARN,AURANGABAD,CHANDUR BAZAR-AMRAVATI,05MT,15200,24290,377
01-01-2025,31-12-2025,DARN,AURANGABAD,CHANDUR BAZAR-AMRAVATI,09MT,26200,46549,377
01-01-2025,31-12-2025,DDHA,DHANBAD,CHANDWA-LATEHAR,03MT,8300,11700,235
01-01-2025,31-12-2025,DDHA,DHANBAD,CHANDWA-LATEHAR,05MT,11700,18697,235
01-01-2025,31-12-2025,UHOW,HOWRAH,CHANDWA-LATHER,09MT,24000,27500,506
01-01-2025,31-12-2025,UHOW,HOWRAH,CHANDWA-LATHER,16MT,27500,33500,506
01-01-2025,31-12-2025,UHOW,HOWRAH,CHANDWA-LATHER,21MT,33500,37500,506
01-01-2025,31-12-2025,UHOW,HOWRAH,CHANDWA-LATHER,25MT,37500,45000,506
01-01-2025,31-12-2025,DBNG,BANGALORE,CHANNARAYAPATNA-HASSAN,03MT,6100,8550,117
01-01-2025,31-12-2025,DBNG,BANGALORE,CHANNARAYAPATNA-HASSAN,05MT,8550,13663,117
01-01-2025,31-12-2025,DIND,INDORE,CHAPDA-DEWAS,03MT,4200,5400,60
01-01-2025,31-12-2025,DIND,INDORE,CHAPDA-DEWAS,05MT,5400,8629,60
01-01-2025,31-12-2025,DMUR,MURTHAL,CHARKHI DADRI-BHIWANI,03MT,4550,6900,121
01-01-2025,31-12-2025,DMUR,MURTHAL,CHARKHI DADRI-BHIWANI,05MT,6900,11026,121
01-01-2025,31-12-2025,DDHA,DHANBAD,CHAS-BOKARO,03MT,2650,3500,44
01-01-2025,31-12-2025,DDHA,DHANBAD,CHAS-BOKARO,05MT,3500,5593,44
01-01-2025,31-12-2025,DDHA,DHANBAD,CHATRA-Chatra,03MT,7500,10300,196
01-01-2025,31-12-2025,DDHA,DHANBAD,CHATRA-Chatra,05MT,10300,16459,196
01-01-2025,31-12-2025,DDHA,DHANBAD,CHATRA-CHATRA,03MT,7500,10300,196
01-01-2025,31-12-2025,DDHA,DHANBAD,CHATRA-CHATRA,05MT,10300,16459,196
01-01-2025,31-12-2025,DROO,YAMUNA NAGAR,CHEEKA-KAITHAL,03MT,4450,6700,109
01-01-2025,31-12-2025,DROO,YAMUNA NAGAR,CHEEKA-KAITHAL,05MT,6700,10707,109
01-01-2025,31-12-2025,USIL,SILVASSA,CHEMBUR-MUMBAI,09MT,12800,19800,175
01-01-2025,31-12-2025,USIL,SILVASSA,CHEMBUR-MUMBAI,16MT,19800,25100,175
01-01-2025,31-12-2025,USIL,SILVASSA,CHEMBUR-MUMBAI,21MT,25100,28400,175
01-01-2025,31-12-2025,USIL,SILVASSA,CHEMBUR-MUMBAI,24MT,28400,35500,175
01-01-2025,31-12-2025,USUR,SURAJPUR,CHHAINSA-FARIDABAD,09MT,8300,9800,58
01-01-2025,31-12-2025,USUR,SURAJPUR,CHHAINSA-FARIDABAD,15MT,9800,11400,58
01-01-2025,31-12-2025,USUR,SURAJPUR,CHHAINSA-FARIDABAD,20MT,11400,12800,58
01-01-2025,31-12-2025,USUR,SURAJPUR,CHHAINSA-FARIDABAD,24MT,12800,16000,58
01-01-2025,31-12-2025,THAR,OKHLA,CHHAWLA CAMP-NEW DELHI,03MT,3500,4300,35
01-01-2025,31-12-2025,THAR,OKHLA,CHHAWLA CAMP-NEW DELHI,05MT,4300,4800,35
01-01-2025,31-12-2025,THAR,OKHLA,CHHAWLA CAMP-NEW DELHI,09MT,4800,7700,35
01-01-2025,31-12-2025,THAR,OKHLA,CHHAWLA CAMP-NEW DELHI,15MT,7700,10262,35
01-01-2025,31-12-2025,DGWA,GWALIOR,CHHIMAK-GWALIOR,03MT,3300,5000,54
01-01-2025,31-12-2025,DGWA,GWALIOR,CHHIMAK-GWALIOR,05MT,5000,7990,54
01-01-2025,31-12-2025,DJAB,JABALPUR,CHHINDWARA-CHHINDWARA,03MT,7200,11800,247
01-01-2025,31-12-2025,DJAB,JABALPUR,CHHINDWARA-CHHINDWARA,05MT,11800,18856,247
01-01-2025,31-12-2025,DJAI,JAIPUR,CHHIPABAROD-BARAN,03MT,10200,16300,419
01-01-2025,31-12-2025,DJAI,JAIPUR,CHHIPABAROD-BARAN,05MT,16300,26047,419
01-01-2025,31-12-2025,DAHM,AHMEDABAD,CHHOTA UDEPUR-CHHOTA UDEPUR,03MT,10500,12000,203
01-01-2025,31-12-2025,DAHM,AHMEDABAD,CHHOTA UDEPUR-CHHOTA UDEPUR,05MT,12000,19176,203
01-01-2025,31-12-2025,DJAI,JAIPUR,CHHOTI KHATU-NAGAUR,03MT,9300,13800,244
01-01-2025,31-12-2025,DJAI,JAIPUR,CHHOTI KHATU-NAGAUR,05MT,13800,22052,244
01-01-2025,31-12-2025,DRAI,RAIPUR,CHHURA-GARIYABAND,03MT,3500,5500,99
01-01-2025,31-12-2025,DRAI,RAIPUR,CHHURA-GARIYABAND,05MT,5500,8789,99
01-01-2025,31-12-2025,DBNG,BANGALORE,CHICKBALLAPURA-CHIKBALLAPUR,03MT,5400,7800,79
01-01-2025,31-12-2025,DBNG,BANGALORE,CHICKBALLAPURA-CHIKBALLAPUR,05MT,7800,12464,79
01-01-2025,31-12-2025,DRAI,RAIPUR,CHIKHALDAH-KHAIRAGARH,03MT,4800,7800,112
01-01-2025,31-12-2025,DRAI,RAIPUR,CHIKHALDAH-KHAIRAGARH,05MT,7800,12464,112
01-01-2025,31-12-2025,DARN,AURANGABAD,CHIKHLI-BULDHANA,03MT,6800,10700,160
01-01-2025,31-12-2025,DARN,AURANGABAD,CHIKHLI-BULDHANA,05MT,10700,17099,160
01-01-2025,31-12-2025,DARN,AURANGABAD,CHIKHLI-BULDHANA,09MT,17400,30914,160
01-01-2025,31-12-2025,USIL,SILVASSA,CHIKHLI-BULDHANA,09MT,24500,36300,462
01-01-2025,31-12-2025,USIL,SILVASSA,CHIKHLI-BULDHANA,16MT,36300,45000,462
01-01-2025,31-12-2025,USIL,SILVASSA,CHIKHLI-BULDHANA,21MT,45000,50000,462
01-01-2025,31-12-2025,USIL,SILVASSA,CHIKHLI-BULDHANA,24MT,50000,62500,462
01-01-2025,31-12-2025,DBNG,BANGALORE,CHIKKANAYAKANAHALLI-TUMKUR,03MT,6100,8600,114
01-01-2025,31-12-2025,DBNG,BANGALORE,CHIKKANAYAKANAHALLI-TUMKUR,05MT,8600,13743,114
01-01-2025,31-12-2025,DBNG,BANGALORE,CHIKKERUR-HAVERI,03MT,10400,12500,313
01-01-2025,31-12-2025,DBNG,BANGALORE,CHIKKERUR-HAVERI,05MT,12500,19975,313
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,CHIKODI-BELGAUM,03MT,6600,10300,150
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,CHIKODI-BELGAUM,05MT,10300,14250,150
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,CHIKODI-BELGAUM,09MT,14250,25318,150
01-01-2025,31-12-2025,DAHM,AHMEDABAD,CHILODA-GANDHINAGAR,03MT,4600,5800,44
01-01-2025,31-12-2025,DAHM,AHMEDABAD,CHILODA-GANDHINAGAR,05MT,5800,9268,44
01-01-2025,31-12-2025,DBNG,BANGALORE,CHINTAMANI-CHIKKABALLAPUR,03MT,5600,7800,99
01-01-2025,31-12-2025,DBNG,BANGALORE,CHINTAMANI-CHIKKABALLAPUR,05MT,7800,12464,99
01-01-2025,31-12-2025,DJAI,JAIPUR,CHIRAWA-JHUNJHUNU,03MT,8500,12800,207
01-01-2025,31-12-2025,DJAI,JAIPUR,CHIRAWA-JHUNJHUNU,05MT,12800,20454,207
01-01-2025,31-12-2025,UHOW,HOWRAH,CHITRA-DEOGHAR,09MT,17000,20000,260
01-01-2025,31-12-2025,UHOW,HOWRAH,CHITRA-DEOGHAR,16MT,20000,22000,260
01-01-2025,31-12-2025,UHOW,HOWRAH,CHITRA-DEOGHAR,21MT,22000,26000,260
01-01-2025,31-12-2025,UHOW,HOWRAH,CHITRA-DEOGHAR,25MT,26000,31200,260
01-01-2025,31-12-2025,DJAB,JABALPUR,CHITRAKOOT-SATNA,03MT,8250,12500,282
01-01-2025,31-12-2025,DJAB,JABALPUR,CHITRAKOOT-SATNA,05MT,12500,19975,282
01-01-2025,31-12-2025,DJAB,JABALPUR,CHITRANGI-SINGRAULI,03MT,9800,14800,408
01-01-2025,31-12-2025,DJAB,JABALPUR,CHITRANGI-SINGRAULI,05MT,14800,23650,408
01-01-2025,31-12-2025,DUDA,UDAIPUR,CHITTORGARH-CHITTORGARH,03MT,4600,6900,117
01-01-2025,31-12-2025,DUDA,UDAIPUR,CHITTORGARH-CHITTORGARH,05MT,6900,11026,117
01-01-2025,31-12-2025,USIL,SILVASSA,CHOPDA-JALGAON,09MT,20300,31800,364
01-01-2025,31-12-2025,USIL,SILVASSA,CHOPDA-JALGAON,16MT,31800,40800,364
01-01-2025,31-12-2025,USIL,SILVASSA,CHOPDA-JALGAON,21MT,40800,44100,364
01-01-2025,31-12-2025,USIL,SILVASSA,CHOPDA-JALGAON,24MT,44100,55125,364
01-01-2025,31-12-2025,DUDA,UDAIPUR,CHOTI SADRI-PRATAPGARH,03MT,6000,9000,165
01-01-2025,31-12-2025,DUDA,UDAIPUR,CHOTI SADRI-PRATAPGARH,05MT,9000,14382,165
01-01-2025,31-12-2025,UHOW,HOWRAH,CHOUPARAN-DEOGHAR,09MT,22000,26000,420
01-01-2025,31-12-2025,UHOW,HOWRAH,CHOUPARAN-DEOGHAR,16MT,26000,34109,420
01-01-2025,31-12-2025,DDHA,DHANBAD,CHOUPARAN-HAZARIBAG,03MT,5100,7400,146
01-01-2025,31-12-2025,DDHA,DHANBAD,CHOUPARAN-HAZARIBAG,05MT,7400,11825,146
01-01-2025,31-12-2025,UROO,ROORKEE,CHOWARI-CHAMBA,09MT,24550,33250,510
01-01-2025,31-12-2025,UROO,ROORKEE,CHOWARI-CHAMBA,15MT,33250,44311,510
01-01-2025,31-12-2025,DPAR,KALA AMB,CHOWARI-CHOMBA,03MT,13400,15400,382
01-01-2025,31-12-2025,DPAR,KALA AMB,CHOWARI-CHOMBA,05MT,15400,24609,382
01-01-2025,31-12-2025,DBNG,BANGALORE,CHOWDESHWARI NAGAR-BENGALURU,03MT,3500,5100,20
01-01-2025,31-12-2025,DBNG,BANGALORE,CHOWDESHWARI NAGAR-BENGALURU,05MT,5100,8150,20
01-01-2025,31-12-2025,UGUW,GUWAHATI,CHOWDHURY BAZAR-HOJAI,09MT,15600,18000,193
01-01-2025,31-12-2025,UGUW,GUWAHATI,CHOWDHURY BAZAR-HOJAI,15MT,18000,23000,193
01-01-2025,31-12-2025,UGUW,GUWAHATI,CHOWDHURY BAZAR-HOJAI,21MT,23000,26000,193
01-01-2025,31-12-2025,UGUW,GUWAHATI,CHOWDHURY BAZAR-HOJAI,24MT,26000,32500,193
01-01-2025,31-12-2025,DPAR,KALA AMB,CHOWKI JAMWALAN-HAMIRPUR,03MT,11600,13000,270
01-01-2025,31-12-2025,DPAR,KALA AMB,CHOWKI JAMWALAN-HAMIRPUR,05MT,13000,20774,270
01-01-2025,31-12-2025,UROO,ROORKEE,CHOWKI JAMWALAN-HAMRIPUR,09MT,18900,25900,360
01-01-2025,31-12-2025,UROO,ROORKEE,CHOWKI JAMWALAN-HAMRIPUR,15MT,25900,34516,360
01-01-2025,31-12-2025,DPAR,KALA AMB,CHOWKIWAL-SOLAN,03MT,6500,7700,110
01-01-2025,31-12-2025,DPAR,KALA AMB,CHOWKIWAL-SOLAN,05MT,7700,12305,110
01-01-2025,31-12-2025,UGUW,GUWAHATI,CHURACHANDPUR-CHURACHANDPUR,09MT,67000,88000,578
01-01-2025,31-12-2025,UGUW,GUWAHATI,CHURACHANDPUR-CHURACHANDPUR,15MT,88000,115000,578
01-01-2025,31-12-2025,UGUW,GUWAHATI,CHURACHANDPUR-CHURACHANDPUR,21MT,115000,128000,578
01-01-2025,31-12-2025,UGUW,GUWAHATI,CHURACHANDPUR-CHURACHANDPUR,24MT,128000,160000,578
01-01-2025,31-12-2025,DJAI,JAIPUR,CHURU-CHURU,03MT,8500,12800,196
