FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,THAR,OKHLA,VISHWAS NAGAR-DELHI,05MT,3400,4200,24
01-01-2025,31-12-2025,THAR,OKHLA,VISHWAS NAGAR-DELHI,09MT,4200,6500,24
01-01-2025,31-12-2025,USUR,SURAJPUR,"SIYANA,SIYANA-BULANDSHAHR",09MT,9500,11950,79
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,MUNAVALLI-BELGAUM,03MT,6600,10300,154
01-01-2025,31-12-2025,THAR,OKHLA,VISHWAS NAGAR-DELHI,15MT,6500,8662,24
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,MUNAVALLI-BELGAUM,05MT,10300,14250,154
01-01-2025,31-12-2025,USUR,SURAJPUR,"SIYANA,SIYANA-BULANDSHAHR",15MT,11950,15000,79
01-01-2025,31-12-2025,USUR,SURAJPUR,VISHWAS NAGAR-DELHI,09MT,5500,8900,37
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,MUNAVALLI-BELGAUM,09MT,14250,25318,154
01-01-2025,31-12-2025,USUR,SURAJPUR,"SIYANA,SIYANA-BULANDSHAHR",20MT,15000,17993,79
01-01-2025,31-12-2025,DCUT,CUTTACK,MUNDEILO-DHENKANAL,03MT,4800,6800,116
01-01-2025,31-12-2025,USUR,SURAJPUR,VISHWAS NAGAR-DELHI,15MT,8900,11861,37
01-01-2025,31-12-2025,USUR,SURAJPUR,SOHNA-GURGAON,09MT,8400,11000,105
01-01-2025,31-12-2025,DCUT,CUTTACK,MUNDEILO-DHENKANAL,05MT,6800,10866,116
01-01-2025,31-12-2025,USUR,SURAJPUR,SOHNA-GURGAON,15MT,11000,13500,105
01-01-2025,31-12-2025,UHOW,HOWRAH,MUNDEILO-DHENKANAL,09MT,20500,26000,425
01-01-2025,31-12-2025,USUR,SURAJPUR,SOHNA-GURGAON,20MT,13500,15300,105
01-01-2025,31-12-2025,DAHM,AHMEDABAD,VISNAGAR-MAHESANA,03MT,7500,9200,135
01-01-2025,31-12-2025,UHOW,HOWRAH,MUNDEILO-DHENKANAL,16MT,26000,34109,425
01-01-2025,31-12-2025,USUR,SURAJPUR,SOHNA-GURGAON,24MT,15300,19125,105
01-01-2025,31-12-2025,DAHM,AHMEDABAD,VISNAGAR-MAHESANA,05MT,9200,14702,135
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,MUNDGOD-UTTARA KANNADA,03MT,8000,11900,242
01-01-2025,31-12-2025,DBHI,BHIWANDI,VITA-SANGLI,03MT,10700,14600,356
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,MUNDGOD-UTTARA KANNADA,05MT,11900,17800,242
01-01-2025,31-12-2025,DBHI,BHIWANDI,VITA-SANGLI,05MT,14600,23331,356
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,MUNDGOD-UTTARA KANNADA,09MT,17800,31625,242
01-01-2025,31-12-2025,DVIJ,VIJAYAWADA,VIZIANAGARAM-VIZIANAGARAM,01MT,6400,19136,457
01-01-2025,31-12-2025,DPAR,KALA AMB,SOLAN-SOLAN,03MT,6200,7700,100
01-01-2025,31-12-2025,DVIJ,VIJAYAWADA,VIZIANAGARAM-VIZIANAGARAM,03MT,16800,27944,457
01-01-2025,31-12-2025,USIL,SILVASSA,VYARA-TAPI,03MT,8500,9500,135
