PostalCode,Latitude,Longitude
411012,18.5788,73.8263
500009,4.142,-73.6266
380009,23.0333,72.6181
370201,23.0833,70.1333
500037,17.4187,78.4695
201310,28.4793,77.5734
400022,19.0333,72.85
500038,17.4187,78.4695
400710,19.36,73.3279
131027,10.2544,-75.3439
500003,4.142,-73.6266
502319,17.9554,78.2569
131028,10.2544,-75.3439
600058,13.0226,79.8422
400053,18.9808,72.8338
520007,1.2136,-77.2811
401506,19.36,73.3279
580114,15.1655,75.1128
500026,17.4113,78.4935
370240,23.6241,69.9589
371775,null,null
411038,18.8199,75.0311
201308,-13.4167,33.8333
247667,29.9144,77.9291
122101,28.4077,76.8268
121102,28.3327,77.3548
110044,28.5027,77.3084
302012,26.879,75.7315
344022,25.8324,72.24
301019,27.4365,76.6535
274802,26.8618,83.9348
272175,26.842,82.4955
272302,26.769,82.6965
201010,10.1503,-73.9614
221003,25.3802,82.9702
201009,28.6472,77.4282
851134,25.4375,86.1
848114,25.7327,85.7815
842001,26.1511,85.3308
848130,25.777,85.9037
824205,24.6529,84.7062
848132,25.751,85.7687
800008,25.5986,85.2202
801503,25.5623,84.9098
835222,23.371,85.1677
827001,23.6915,85.988
768226,21.806,83.9547
751015,20.09,85.5114
768006,21.3696,83.8986
754025,20.5392,85.9151
769004,22.2345,84.7808
751024,20.09,85.5114
492001,21.2845,81.8203
493221,21.498,81.643
482002,23.0996,80.0166
454775,22.602,75.6965
485111,24.4669,80.9864
454446,22.3139,74.9895
361008,22.4968,70.0823
365560,20.9852,71.449
391346,22.2454,73.2327
390016,22.2454,73.2327
380054,22.7611,72.2477
416229,16.4462,74.3163
431507,19.3767,76.2252
412216,18.6457,74.0591
400078,18.9808,72.8338
400059,18.9808,72.8338
400070,18.9808,72.8338
412111,52.0756,44.3381
400701,19.1167,72.9833
440014,21.1793,79.0923
580024,15.2475,75.1407
586201,16.7453,76.3537
585403,17.9528,77.2265
577522,14.1612,76.7537
572101,13.3758,76.9751
560099,13.2257,77.575
561203,13.2257,77.575
585320,17.2843,77.2952
560058,13.2257,77.575
560062,13.2257,77.575
560038,13.2257,77.575
585222,16.987,77.1915
587122,16.2205,75.6254
585292,17.2602,76.8695
560026,13.2257,77.575
671321,12.6531,75.0376
670307,12.1212,75.2174
670141,12.0006,75.5262
670502,12.0588,75.3248
673010,11.288,75.788
670002,11.9357,75.3485
670301,11.9778,75.3052
671121,12.5427,74.9819
626125,9.5127,77.6337
638302,1.339,103.6922
635001,12.5758,78.2512
603406,12.5815,79.7753
641301,10.8745,76.9756
641062,10.8745,76.9756
600089,12.6952,79.9479
600098,46.5672,26.9138
600067,13.2626,80.2194
600123,13.2431,79.94
600001,13.0914,80.2828
639114,10.9679,78.1605
507001,3.9869,-73.758
509235,16.703,77.8097
502301,17.9554,78.2569
500055,17.3724,78.437
509381,16.703,77.8097
500039,17.4171,78.4772
500072,17.4171,78.4772
500029,17.3968,78.4935
500090,17.4171,78.4772
502325,17.9554,78.2569
506331,17.9218,79.7582
500043,17.4171,78.4772
500070,17.4661,78.4914
501301,17.4171,78.4772
500082,17.4253,78.4581
508207,17.1406,79.549
502329,17.9793,78.4183
500051,17.3724,78.437
500011,17.4171,78.4772
500015,17.4171,78.4772
523270,15.4384,79.7227
521211,16.5627,80.8006
522413,16.4403,79.9227
517001,13.3103,79.1847
530046,17.8909,82.6924
516390,14.4632,78.1499
521180,16.7242,80.3625
516002,14.4823,78.8548
520002,1.2136,-77.2811
521101,16.5627,80.8006
520008,1.2136,-77.2811
530001,17.7133,83.2808
520004,1.2136,-77.2811
000000,-2.9153149,-79.0139115
